REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
567,Kenya,KEN,Africa,1/1/2006,1/1/2007,2006,Drought,Natural Hydrometeorologic climatological,Emergency appeal,329000,16840847
569,Malawi,MWI,Africa,1/1/2006,5/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,DREF,9500,99827
570,Mali,MLI,Africa,8/1/2006,10/1/2007,2006,Drought,Natural Hydrometeorologic climatological,DREF,25000,0
571,Mali,MLI,Africa,12/1/2006,11/1/2007,2006,Fire,Technological Miscellaneous accident,DREF,5000,53044
573,Mauritania,MRT,Africa,7/1/2006,6/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,2000,0
575,Namibia,NAM,Africa,3/1/2006,5/1/2006,2006,Mariental Floods ,Natural Hydrometeorologic hydrological,DREF,2100,89968
576,Nigeria,NGA,Africa,2/1/2006,10/1/2006,2006,Avian Influenza,Natural Biological,DREF,500000,100000
577,Nigeria,NGA,Africa,12/1/2006,11/1/2007,2006,Oil pipeline disaster in Abule Egba,Technological Industrial accident,DREF,2000,0
579,Palestine,PSE,Middle East and North Africa,5/1/2006,3/1/2007,2006,Call for support,Natural Biological,Emergency appeal,1000000,6589593
580,Peru,PER,Americas,3/1/2006,5/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,DREF,180000,53299
581,Philippines,PHL,Asia Pacific,10/1/2006,12/1/2008,2006,Typhoons,Natural Hydrometeorologic meteorological,Emergency appeal,126000,9878867
582,Philippines,PHL,Asia Pacific,2/1/2006,4/1/2008,2006,Landslides and Floods,Natural Hydrometeorologic hydrological,Emergency appeal,8000,2800437
585,Russia,RUS,Europe,4/1/2006,8/1/2006,2006,Koryakia Earthquake,Natural Geophysical,DREF,4126,149984
586,Rwanda,RWA,Africa,10/1/2006,9/1/2007,2006,Population movement,Human related,Emergency appeal,30000,1545713
587,Rwanda,RWA,Africa,3/1/2006,9/1/2006,2006,Drought,Natural Hydrometeorologic climatological,Emergency appeal,114075,902799
590,Seychelles,SYC,Africa,3/1/2006,6/1/2006,2006,Chikungunya Epidemic,Natural Biological,DREF,missing data,35518
591,Sierra Leone,SLE,Africa,10/1/2006,1/1/2008,2006,Cholera,Natural Biological,DREF,313765,148442
592,Sudan,SDN,Africa,1/1/2006,8/1/2008,2006,Cholera,Natural Biological,Emergency appeal,90000,1015000
593,Sudan,SDN,Africa,8/1/2006,4/1/2007,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,15000,1512497
594,Suriname,SUR,Americas,5/1/2006,11/1/2006,2006,Floods,Natural Hydrometeorologic hydrological,Emergency appeal,20000,854305
595,Tajikistan,TJK,Europe,7/1/2006,10/1/2006,2006,Earthquake,Natural Geophysical,DREF,21057,100000
