ARC_num,DisasterName,Date,Region,Country,ADM0_A3,TotalAffected,Money,PeopleDeployed,TotalSupplies,HygieneKits,Blankets,JerryCans,Buckets,Tents,KitchenSets,SleepingMats,MosquitoNets,FoodParcels,Tarps,Vehicles,OtherItems,RiceBags,TotalContributions
140,Eastern Africa Drought,3/1/2006,Africa,Kenya,KEN,,150000,,,,,,,,,,,,,,,,150000
147,Spain Terrorism,4/1/2006,Europe/Asia,Spain,ESP,,20000,,,,,,,,,,,,,,,,20000
145,Ethiopia Drought,4/1/2006,Africa,Ethiopia,ETH,,94461,,,,,,,,,,,,,,,,94461
146,Somalia Drought,4/1/2006,Africa,Somalia,SOM,,250000,,,,,,,,,,,,,,,,250000
144,Angola Cholera Epidemic,5/1/2006,Africa,Angola,AGO,,0,1,,,,,,,,,,,,,,,5000
148,Colombia Floods,5/1/2006,LAC,Colombia,COL,,50000,,,,,,,,,,,,,,,,50000
149,Indonesia Yogyakarta Earthquake,5/1/2006,Europe/Asia,Indonesia,IDN,,1398250,7,,,,,,,,,,,,,,,1485750
151,Middle East Humanitarian Crisis,7/1/2006,Europe/Asia,Lebanon,LBN,,1889600,,,,,,,,,,,,,,,,1889600
150,Romania Floods,7/1/2006,Europe/Asia,Romania,ROU,,5000,,,,,,,,,,,,,,,,5000
152,China Floods,8/1/2006,Europe/Asia,China,CHN,,50000,,,,,,,,,,,,,,,,50000
153,Ecuador Volanic Eruption,8/1/2006,LAC,Ecuador,ECU,,50000,,,,,,,,,,,,,,,,50000
154,Ethiopia Floods,8/1/2006,Africa,Ethiopia,ETH,,85000,2,,,,,,,,,,,,,,,85000
155,Sudan Floods,9/1/2006,Africa,Sudan,SDN,,10000,,10000,,,,,,,,10000,,,,,,46900
156,Philippines Typhoons,10/1/2006,Europe/Asia,Philippines,PHL,,787000,2,,,,,,,,,,,,,,,793500
157,Vietnam Typhoons,10/1/2006,Europe/Asia,Vietnam,VNM,,63000,,,,,,,,,,,,,,,,63000
159,Kenya Floods,11/1/2006,Africa,Kenya,KEN,,80000,,20000,,,,,,,,20000,,,,,,200000
158,Somalia Conflict,11/1/2006,Africa,Somalia,SOM,,50000,,,,,,,,,,,,,,,,50000
160,Somalia Floods,11/1/2006,Africa,Somalia,SOM,,100000,,,,,,,,,,,,,,,,100000
162,Bolivia Floods,2/1/2007,LAC,Bolivia,BOL,,150000,,,,,,,,,,,,,,,,150000
161,Mozambique Floods,2/1/2007,Africa,Mozambique,MOZ,,0,2,26950,,7050,,,,,,,,3900,,,,245000
163,Sri Lanka Conflict,3/1/2007,Europe/Asia,Sri Lanka,LKA,,2000000,,,,,,,,,,,,,,,,2000000
164,Madagascar Cyclones,3/1/2007,Africa,Madagascar,MDG,,0,5,10000,,,,,,,,1000,,,,,,102000
